user,userid,event_newcomers,user_type,event,edit_count,ave_true,ave_false,predict_true_count,predict_false_count,final_check
ILLWRECKYOU,21603481,1,1,fifa,1,0.02435118,0.97554883,0,1,0
Fgauivfhrhgfighifdh,25147706,1,1,ebola,3,0.026672563,0.973294105,0,3,0
1989,23334321,0,3,blm,274,0.958926596,0.041073039,274,0,1
2014:f.ace,22329100,1,2,ebola,31,0.819771955,0.180224819,26,5,0
Sizzlingsteve669,22143495,1,1,ebola,1,0.035486951,0.964413059,0,1,0
Iwalrusfriend,23257101,1,1,ebola,1,0.043826433,0.956073577,0,1,0
Kanye East1234,24300299,1,1,ebola,1,0.053152801,0.946747209,0,1,0
RealPyro,21981816,1,1,ebola,1,0.070382385,0.929517625,0,1,0
99.99percent,25532589,1,1,blm,11,0.226013384,0.773977525,2,9,0
Princessbananahammock,22097365,1,1,ebola,1,0.077573652,0.922326358,0,1,0
ADDCharlie,25893465,1,1,blm,1,0.277706453,0.722193557,0,1,0
Aangell123,23430388,1,2,ebola,6,0.592649831,0.407333503,4,2,0
Fakecolepoland,22002453,1,1,ebola,1,0.078641312,0.921258698,0,1,0
Nauzemophonic,22709814,1,1,ebola,1,0.079383283,0.920516727,0,1,0
Abhinav0908,21299956,1,3,fifa,529,0.933628206,0.066371605,528,1,0
CDC Latam,22210107,1,1,ebola,1,0.083624863,0.916275147,0,1,0
Lilnelson1234,23083653,1,1,ebola,1,0.090502208,0.909397802,0,1,0
Acaddoc,21673285,1,2,fifa,2,0.77021685,0.229733153,2,0,0
Adam9007,24796666,0,2,blm,332,0.966615184,0.033384515,332,0,1
Admiller6,23379611,1,1,blm,1,0.158186224,0.841713786,0,1,0
Doctorjokes,22166581,1,1,ebola,1,0.097613401,0.902286609,0,1,0
Gggff555,22857826,1,1,ebola,1,0.100173226,0.899726784,0,1,0
Editboyxxx999snipez,22764491,1,1,ebola,2,0.104281177,0.895668826,0,2,0
Afropwnswest,24827597,1,1,blm,9,0.493430956,0.506557933,5,4,0
Agent0047,20601081,1,2,fifa,152,0.711796052,0.28820329,132,20,0
Agiufurta,22851142,1,2,ebola,5,0.66621297,0.33376703,4,1,0
Ahavahisrael,22057934,1,2,ebola,20,0.61235418,0.38764082,16,4,0
Akkckkc,25865582,1,1,blm,2,0.272974061,0.726975941,0,2,0
AlaskanNativeRU,24682483,1,2,blm,322,0.700099714,0.299899976,268,54,0
Alex 75596,21556280,1,2,fifa,31,0.579792589,0.420204185,19,12,0
Alikaraji78,21553092,1,2,fifa,20,0.799000491,0.200994509,18,2,0
Allegations,25905471,1,3,blm,9,0.559382308,0.440606581,5,4,0
Allthefoxes,26932540,0,3,blm,3252,0.942756321,0.057243648,3250,2,1
Alpha Monarch,21632347,1,3,fifa,331,0.934212946,0.065786752,330,1,0
Frostnibble12343456,22940347,1,1,ebola,1,0.109544874,0.890355136,0,1,0
Amax1701,25757421,1,2,blm,23,0.544437155,0.455558497,12,11,0
Ammorain,22736357,1,2,ebola,40,0.830314713,0.169682787,39,1,0
Amortias,21319995,1,3,blm,2443,0.944140876,0.055859083,2443,0,0
Hemlata0005,22287630,1,1,ebola,1,0.111708699,0.888191311,0,1,0
Anouyous151,25857880,1,1,blm,3,0.394599975,0.605366693,0,3,0
Coolguy1235,23142341,1,1,ebola,1,0.112206676,0.887693334,0,1,0
Anuragpai123,21458734,1,2,fifa,5,0.669427901,0.330552099,3,2,0
Aparuthi,22646930,1,3,ebola,11,0.838850569,0.16114034,11,0,0
Itzzz Michael,21497331,1,1,fifa,2,0.113051499,0.886898504,0,2,0
Omelly97,21969174,1,1,ebola,2,0.14324675,0.856703253,0,2,0
Erinarrow,25137754,1,1,ebola,1,0.14566246,0.85423755,0,1,0
Arjunsanyal,21538496,1,2,fifa,63,0.81125581,0.188742602,59,4,0
Haaslk,21800872,1,1,fifa,1,0.146053672,0.853846338,0,1,0
Arslan963,21421968,1,2,fifa,3,0.360961507,0.639005161,1,2,0
Aryehh89,22181073,0,2,blm,29,0.705175376,0.294821176,24,5,1
Asere3000,26389553,1,1,blm,1,0.112156064,0.887743946,0,1,0
Jsoik,23255479,1,1,ebola,1,0.149999012,0.849900998,0,1,0
