wpid,userid,user_type,event,edit_count,revert_count,revert_ratio,ave_true,final_check
08limi,23213101,1,ebola,1,1,1,0.63923823,0
09flower,23214516,1,ebola,2,0,0,0.566087583,0
1989,23334321,3,blm,274,1,0.003649635,0.958926596,1
2014:f.ace,22329100,2,ebola,31,0,0,0.819771955,0
21 bruh,23252097,1,ebola,1,1,1,0.262377907,0
2manyJimmiesRustled,22044636,1,ebola,1,1,1,0.210716626,0
3!13,22271024,1,ebola,2,0,0,0.574073356,0
42Q7,21979093,1,fifa,34,3,0.090909091,0.704677574,0
99.99percent,25532589,1,blm,11,6,0.545454545,0.226013384,0
A5176868,21647163,1,fifa,2,0,0,0.821771691,0
ADDCharlie,25893465,1,blm,1,1,1,0.277706453,0
Aangell123,23430388,2,ebola,6,2,0.333333333,0.592649831,0
AashishAashish,21785673,1,fifa,1,1,1,0.240052465,0
Abcdefghijklmnopqrstuvwxyz12345678910111,23172042,1,ebola,1,1,1,0.436937825,0
Abhinav0908,21299956,3,fifa,529,60,0.116054159,0.933628206,0
Abiyarajan77,22773833,1,ebola,1,0,0,0.578859757,0
Abpokhrel,21558487,1,fifa,7,0,0,0.848315276,0
Acaddoc,21673285,2,fifa,2,1,0.5,0.77021685,0
Adam9007,24796666,2,blm,332,7,0.021084337,0.966615184,1
Admiller6,23379611,1,blm,1,1,1,0.158186224,0
Adrian-re14,21646720,1,fifa,1,0,0,0.839732482,0
Adrien Glauser,21692166,1,fifa,3,0,0,0.905959919,0
Afk3004,23010510,1,ebola,1,0,0,0.676516711,0
Afropwnswest,24827597,1,blm,9,0,0,0.493430956,0
Agent0047,20601081,2,fifa,152,17,0.113333333,0.711796052,0
Agiufurta,22851142,2,ebola,5,0,0,0.66621297,0
Ahavahisrael,22057934,2,ebola,20,2,0.1,0.61235418,0
Akkckkc,25865582,1,blm,2,0,0,0.272974061,0
AlaskanNativeRU,24682483,2,blm,322,63,0.196875,0.700099714,0
Alex 75596,21556280,2,fifa,31,5,0.161290323,0.579792589,0
Alikaraji78,21553092,2,fifa,20,6,0.3,0.799000491,0
Allegations,25905471,3,blm,9,5,0.555555556,0.559382308,0
Allthefoxes,26932540,3,blm,3252,242,0.074415744,0.942756321,1
Alpha Monarch,21632347,3,fifa,331,46,0.140672783,0.934212946,0
Alvisprabhu1,22174142,1,ebola,1,0,0,0.247075,0
Amax1701,25757421,2,blm,23,5,0.217391304,0.544437155,0
