wpid,userid,register,event_newcomers,is_in_event,time,death,user_type,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event,first_edit_type3
1989,23334321,11/29/14,0,1,1055,0,0,17,1.846149112,1.999988889,16,18,39,0,7,0,1012,635.1515735,237.1955515,2501,3692,24364,5197,463,13664,BLM,3
99.99percent,25532589,6/18/15,1,1,0,1,1,0,-390.9200698,-251.9068008,1,11,13,0,0,2,0,0,0,0,0,0,0,0,0,BLM,1
ADDCharlie,25893465,7/30/15,1,1,0,1,1,0,588.9411059,588.9411059,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Adam9007,24796666,4/16/15,0,1,917,0,0,29,489.620059,35.03121351,77,96,187,7,4,46,886,503.2264147,267.3984755,8361,16154,35077,920,2417,12789,BLM,2
Admiller6,23379611,12/4/14,1,1,0,1,1,0,-20.99790021,-20.99790021,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Afropwnswest,24827597,4/18/15,1,1,309,1,1,0,30.44410618,30.44410618,2,9,9,0,0,0,7,-34.99825009,-34.99825009,1,2,2,0,0,0,BLM,1
Akkckkc,25865582,7/27/15,1,1,0,1,1,0,63.49682516,63.49682516,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
AlaskanNativeRU,24682483,4/8/15,0,1,922,0,0,30,86.65935749,1.872879769,57,118,138,11,2,5,891,19.43073453,28.62083812,520,1142,1386,102,5,84,BLM,2
Allegations,25905471,8/1/15,1,1,1,1,1,1,99.599336,18.44423951,1,9,15,2,0,4,0,0,0,0,0,0,0,0,0,BLM,3
Allthefoxes,26932540,11/30/15,0,1,678,0,0,30,692.2977922,286.5636417,1373,1453,3519,12,224,1764,647,572.5431834,385.8848562,1703,2076,5429,563,306,2212,BLM,3
Amax1701,25757421,7/13/15,0,1,141,1,0,28,20.38445858,20.38445858,8,13,13,0,0,0,102,43.71982512,43.71982512,11,25,25,0,0,0,BLM,2
Amortias,21319995,5/3/14,0,1,1262,0,0,30,309.1426452,94.16752815,302,376,820,27,22,205,1231,689.9937485,737.8441344,7101,8912,25285,399,2196,10719,BLM,3
Anouyous151,25857880,7/26/15,1,1,4,1,1,3,0.333322223,0.333322223,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Aryehh89,22181073,8/12/14,0,1,1099,1,0,9,196.1372547,196.1372547,9,29,29,0,0,0,246,246.5786229,233.1686857,14,71,76,0,0,0,BLM,2
Asere3000,26389553,9/29/15,1,1,0,1,1,0,94.99050095,94.99050095,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
AusLondonder,24801517,4/17/15,0,1,916,0,0,30,512.1538724,382.8059333,300,634,981,31,1,141,885,213.3650038,125.6375574,8904,14154,21923,2360,107,1718,BLM,2
AutonomousOrangePages,23378365,12/3/14,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BadDJ,25823689,7/22/15,0,1,5,1,0,5,48.6246961,48.6246961,3,16,16,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
Baking Soda,26883893,11/24/15,1,1,243,1,1,30,79.39985564,82.46921945,11,49,55,3,0,0,211,178.2355414,97.64134779,1574,4029,5638,544,43,316,BLM,1
Bander.Quraishi,22332479,8/26/14,1,1,15,1,1,0,4.99950005,4.99950005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BatHunter,22065417,8/5/14,1,1,140,1,1,1,264.1390837,253.9957667,1,6,7,1,0,0,75,-39.39921202,-39.39921202,2,5,5,0,0,0,BLM,1
Belltoes,26478780,10/9/15,0,1,660,1,0,16,1.003002702,-31.74263539,28,272,333,4,57,0,629,65.17276634,65.67373134,54,754,764,5,1,3,BLM,3
Big12isu,23369095,12/3/14,1,1,0,1,1,0,90.99090091,90.99090091,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Bluemousered,23334109,11/29/14,1,1,967,1,1,0,12.99870013,12.99870013,1,1,1,0,0,0,844,317.2186976,3.499956251,3,8,9,1,0,0,BLM,1
Blzjms,23377306,12/3/14,1,1,0,1,1,0,-81.99180082,-81.99180082,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
Bohemian Baltimore,22066013,8/5/14,0,1,1165,0,0,20,67.17290267,100.3958774,65,245,480,10,1,1,1099,48.45691476,38.7265165,12968,17917,33341,1215,19,16,BLM,2
BoomChakaLakaBoom,23566036,12/23/14,1,1,0,1,1,0,11.99880012,11.99880012,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BoricuaBonita,25871548,7/28/15,1,1,0,1,1,0,-43.99560044,-43.99560044,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
BunnyTaker55,22945140,10/23/14,0,1,0,1,0,0,-23.99880006,-23.99880006,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
CAPTAIN RAJU,25523690,6/17/15,0,1,855,0,0,30,1757.347359,1707.497659,249,500,748,0,3,242,824,744.7847999,529.0111601,42563,58597,148425,1874,4649,49721,BLM,2
CLCStudent,26398660,9/30/15,0,1,748,0,0,30,1179.948783,1903.852389,493,611,1330,10,0,642,715,903.694817,1192.616248,11289,16167,34052,182,83,15879,BLM,2
CalLightman1990,26729435,11/7/15,0,1,46,1,0,1,204.1959161,169.7457564,1,4,5,1,0,0,0,-0.99990001,-0.99990001,1,1,1,0,0,0,BLM,2
Cathar66,23395611,12/5/14,0,1,969,1,0,29,162.356563,-44.13616302,12,22,28,0,2,4,938,152.0706538,262.8520391,166,453,665,47,46,83,BLM,3
Cbursaw,23398438,12/5/14,0,1,929,1,0,28,35.98239301,35.98239301,13,57,57,0,0,0,834,38.95214938,41.93660103,161,978,1045,0,0,1,BLM,2
Cewlt,24382660,3/10/15,0,1,708,1,0,15,82.11019878,82.11019878,4,9,9,0,0,0,649,-42.03294394,-65.9197124,115,162,182,1,9,6,BLM,2
Cfavsmba,23580749,12/24/14,0,1,0,1,0,0,16.99943335,16.99943335,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,BLM,2
ChamithN,21929136,7/26/14,0,1,1181,0,0,30,157.5127397,72.66418054,89,137,195,10,20,20,1150,303.2767349,66.11355346,3317,12690,20272,1232,334,5067,BLM,2
Chiffchaff2015,25571777,6/22/15,1,1,0,1,1,0,1.999971429,1.999971429,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,BLM,1
CitiV,22123746,8/8/14,0,1,288,1,0,30,31.56344377,26.92427495,147,383,394,9,0,0,257,37.72201266,-21.49982083,7,12,18,0,0,0,BLM,3
