label,wpid,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
08limi,08limi,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
2014:f.ace,2014:f.ace,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
21 bruh,21 bruh,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
99.99percent,99.99percent,1,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,8,8,0,7.27E-06,BLM
2manyJimmiesRustled,2manyJimmiesRustled,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,3.84E-08,ebola
42Q7,42Q7,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Aangell123,Aangell123,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
AashishAashish,AashishAashish,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Abhinav0908,Abhinav0908,3,1,0,1669,0.000421666,2.58E-07,0.000512535,15,0.007537688,8,0.004020101,7,0.003517588,39,16,23,0.004488266,FIFA
Abiyarajan77,Abiyarajan77,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
Abpokhrel,Abpokhrel,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,FIFA
Afropwnswest,Afropwnswest,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,7.48E-08,BLM
Ahavahisrael,Ahavahisrael,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
AlaskanNativeRU,AlaskanNativeRU,2,1,0,3,7.58E-07,2.53E-07,0.000502512,5,0.002512563,4,0.00201005,1,0.000502513,19,16,3,0,BLM
Alex 75596,Alex 75596,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Allegations,Allegations,3,1,0,5605,0.00141608,3.39E-07,0.000674519,4,0.00201005,2,0.001005025,2,0.001005025,9,5,4,8.79E-07,BLM
Alpha Monarch,Alpha Monarch,3,1,0,4520,0.001141959,2.57E-07,0.000512294,52,0.026130653,13,0.006532663,39,0.01959799,66,20,46,6.12E-06,FIFA
Amax1701,Amax1701,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,BLM
Ammorain,Ammorain,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
Amortias,Amortias,3,1,0,3998,0.001010078,2.75E-07,0.000548241,188,0.094472362,24,0.012060302,164,0.08241206,224,32,192,7.72E-05,BLM
AngelisDragon,AngelisDragon,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0.000195397,ebola
Aparuthi,Aparuthi,3,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,10,10,0,1.52E-06,ebola
Aragornbattle,Aragornbattle,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
