wpid,userid,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true
08limi,23213101,281,1,2014,8/26/15,778,10/12/17,8/26/15,1,1,1,RVSV-ZEBOV vaccine,11/18/14,11/18/14,1,-6,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.63923823
09flower,23214516,0,1,2014,11/18/14,1059,10/12/17,11/18/14,1,1,1,Responses to the West African Ebola virus epidemic,11/18/14,11/18/14,2,279,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.566087583
2014:f.ace,22329100,232,1,2014,4/14/15,912,10/12/17,4/14/15,0,2,2,Ebola virus cases in the United States,10/12/14,8/25/14,31,164.1935484,12,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.819771955
21 bruh,23252097,0,1,2014,11/21/14,1056,10/12/17,11/21/14,1,1,1,Ebola virus disease,11/21/14,11/21/14,1,0,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.262377907
2manyJimmiesRustled,22044636,0,1,2014,8/4/14,1165,10/12/17,8/4/14,1,1,1,Ebola virus disease,8/4/14,8/4/14,1,-3,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,3.84E-08,ebola,1,1,0.210716626
3!13,22271024,998,1,2014,5/14/17,151,10/12/17,5/14/17,1,1,1,West African Ebola virus epidemic,8/20/14,8/20/14,2,114.5,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.574073356
42Q7,21979093,1163,0,2014,10/6/17,8,10/14/17,10/6/17,1,1,1,2010 FIFA World Cup qualification (inter-confederation play-offs),7/31/14,7/31/14,34,28.67647059,29,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,3,0.090909091,0.704677574
99.99percent,25532589,0,1,2015,6/18/15,854,10/19/17,6/18/15,1,1,1,Charleston church shooting,6/18/15,6/18/15,11,-251.9090909,1,1,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,8,8,0,7.27E-06,blm,6,0.545454545,0.226013384
A5176868,21647163,183,1,2014,12/18/14,1031,10/14/17,12/18/14,1,1,1,2014 FIFA World Cup disciplinary record,6/18/14,6/18/14,2,22,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.821771691
Aangell123,23430388,4,1,2014,12/12/14,1035,10/12/17,12/12/14,0,2,2,West African Ebola virus epidemic,12/12/14,12/8/14,6,301.6666667,6,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,0.333333333,0.592649831
AashishAashish,21785673,134,1,2014,11/19/14,1060,10/14/17,11/19/14,1,1,1,2014 FIFA World Cup qualification,7/8/14,7/8/14,1,53,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,1,1,0.240052465
Abcdefghijklmnopqrstuvwxyz12345678910111,23172042,0,1,2014,11/14/14,1063,10/12/17,11/14/14,1,1,1,Ebola virus cases in the United States,11/14/14,11/14/14,1,12,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,1,1,0.436937825
Abhinav0908,21299956,1084,1,2014,4/18/17,179,10/14/17,4/18/17,0,3,3,2014 FIFA World Cup squads,5/10/14,4/30/14,529,-157.5595463,69,3,1669,0.000421666,0.000512535,15,0.007537688,8,0.004020101,7,0.003517588,39,16,23,0.004488266,fifa,60,0.116054159,0.933628206
Abiyarajan77,22773833,382,1,2014,10/24/15,719,10/12/17,10/24/15,1,1,1,West African Ebola virus epidemic,10/7/14,10/7/14,1,0,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,0,0,0.578859757
