wpid,userid,register,death,first_edit_type3,before_time_span,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count,after_time_span,after_ave_sizediff,after_article_sizediff,after_unique_articles,after_article_count,after_edit_count,after_talk_count,after_user_count,after_usertalk_count,event.x,first_edit_type3,label,first_edit,from_event,transitivity,betweenness,betweenness_norm,closeness,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event
08limi,23213101,11/18/14,1,1,0,-5.99940006,-5.99940006,1,1,1,0,0,0,0,8.333055565,8.333055565,1,3,3,0,0,0,ebola,1,08limi,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
09flower,23214516,11/18/14,1,1,0,278.9860507,278.9860507,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,09flower,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
2014:f.ace,22329100,8/25/14,1,2,0,23.85680205,23.85680205,2,7,7,0,0,0,184,142.7432237,159.852471,16,34,39,3,0,0,ebola,2,2014:f.ace,2,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
21 bruh,23252097,11/21/14,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,21 bruh,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
2manyJimmiesRustled,22044636,8/4/14,1,1,0,-2.99970003,-2.99970003,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ebola,1,2manyJimmiesRustled,1,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,3.84E-08,ebola
3!13,22271024,8/20/14,1,1,0,239.4880256,209.9790021,1,1,2,0,0,0,917,63.64240255,42.58297848,6,12,14,0,0,2,ebola,1,3!13,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola
42Q7,21979093,7/31/14,0,1,28,41.88210658,41.88210658,14,17,17,0,0,0,1130,21.07997189,21.07997189,59,75,75,0,0,0,FIFA,1,42Q7,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
99.99percent,25532589,6/18/15,1,1,0,-390.9200698,-251.9068008,1,11,13,0,0,2,0,0,0,0,0,0,0,0,0,BLM,1,99.99percent,1,1,0,0,0,2.52E-07,0.00050226,3,0.001507538,3,0.001507538,0,0,8,8,0,7.27E-06,BLM
A5176868,21647163,6/18/14,1,1,0,21.99890005,21.99890005,1,2,2,0,0,0,3,-28.99855007,-28.99855007,2,2,2,0,0,0,FIFA,1,A5176868,1,1,NA,0,0,2.52E-07,0.00050226,0,0,0,0,0,0,0,0,0,0,FIFA
Aangell123,23430388,12/8/14,1,2,4,322.8709641,301.661639,6,6,8,2,0,0,0,0,0,0,0,0,0,0,0,ebola,2,Aangell123,2,1,NA,0,0,2.52E-07,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola
