wpid,userid,ave_good_3ms,revert_count_3ms,time,death,newcomer_registyear,today,lastedit_tillend,last_censored,last_edit,event_newcomers,first_edit_type,first_edit_type3,first_eventedit_article,first_eventedit_date,registration,article_edits,article_sizediff,unique_articles,first_edit,betweenness,betweenness_norm,closeness_norm,degree,degree_norm,Indegree,Indegree_norm,Outdegree,Outdegree_norm,weighted_degree,weighted_Indegree,weighted_Outdegree,eigen,event,revert_count,revert_ratio,ave_true,before_ave_sizediff,before_article_sizediff,before_unique_articles,before_article_count,before_edit_count,before_talk_count,before_user_count,before_usertalk_count
08limi,23213101,0,0,281,1,2014,8/26/15,778,10/12/17,8/26/15,1,1,1,RVSV-ZEBOV vaccine,11/18/14,11/18/14,1,-6,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.63923823,-5.99940006,-5.99940006,1,1,1,0,0,0
09flower,23214516,0,0,0,1,2014,11/18/14,1059,10/12/17,11/18/14,1,1,1,Responses to the West African Ebola virus epidemic,11/18/14,11/18/14,2,279,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.566087583,278.9860507,278.9860507,1,2,2,0,0,0
2014:f.ace,22329100,0.895881384,0,232,1,2014,4/14/15,912,10/12/17,4/14/15,0,2,2,Ebola virus cases in the United States,10/12/14,8/25/14,31,164.1935484,12,2,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.819771955,23.85680205,23.85680205,2,7,7,0,0,0
21 bruh,23252097,0,0,0,1,2014,11/21/14,1056,10/12/17,11/21/14,1,1,1,Ebola virus disease,11/21/14,11/21/14,1,0,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,1,1,0.262377907,0,0,1,1,1,0,0,0
2manyJimmiesRustled,22044636,0,0,0,1,2014,8/4/14,1165,10/12/17,8/4/14,1,1,1,Ebola virus disease,8/4/14,8/4/14,1,-3,1,1,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,3.84E-08,ebola,1,1,0.210716626,-2.99970003,-2.99970003,1,1,1,0,0,0
3!13,22271024,0.653240334,0,998,1,2014,5/14/17,151,10/12/17,5/14/17,1,1,1,West African Ebola virus epidemic,8/20/14,8/20/14,2,114.5,2,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,ebola,0,0,0.574073356,239.4880256,209.9790021,1,1,2,0,0,0
42Q7,21979093,0.78419503,1,1163,0,2014,10/6/17,8,10/14/17,10/6/17,1,1,1,2010 FIFA World Cup qualification (inter-confederation play-offs),7/31/14,7/31/14,34,28.67647059,29,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,3,0.090909091,0.704677574,41.88210658,41.88210658,14,17,17,0,0,0
99.99percent,25532589,0,0,0,1,2015,6/18/15,854,10/19/17,6/18/15,1,1,1,Charleston church shooting,6/18/15,6/18/15,11,-251.9090909,1,1,0,0,0.00050226,3,0.001507538,3,0.001507538,0,0,8,8,0,7.27E-06,blm,6,0.545454545,0.226013384,-390.9200698,-251.9068008,1,11,13,0,0,2
A5176868,21647163,0,0,183,1,2014,12/18/14,1031,10/14/17,12/18/14,1,1,1,2014 FIFA World Cup disciplinary record,6/18/14,6/18/14,2,22,1,1,0,0,0.00050226,0,0,0,0,0,0,0,0,0,0,fifa,0,0,0.821771691,21.99890005,21.99890005,1,2,2,0,0,0
Aangell123,23430388,0,0,4,1,2014,12/12/14,1035,10/12/17,12/12/14,0,2,2,West African Ebola virus epidemic,12/12/14,12/8/14,6,301.6666667,6,2,0,0,0.00050226,1,0.000502513,1,0.000502513,0,0,1,1,0,0,ebola,2,0.333333333,0.592649831,322.8709641,301.661639,6,6,8,2,0,0
